,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,days_since_added
price_usd,1.0,-0.02430125291377237,-0.02445661413148523,-0.014063965215275333,-0.01093687582345058,0.18607161037325734,0.143507706391554,0.9701943859668145,0.9696789027158481,0.9249979949514889,,0.15649418937948556,0.15649418937948556,-0.031871650402518534,-0.9701882192781524,-0.031871650402518534,0.14142114686017246,-0.11399280629360714,0.06812550112802895,,0.04888935937991767,,-0.021570374337161902,0.06812550112802895,0.06544836528605324,0.15648387094836042,0.048888736841367124,0.06022378320009806,0.06812647181578771,-0.02158224466521464,-0.02410977191432616,-0.013830560029577728,-0.024109773461492266,-0.014041581168820247,-0.013583950017348622,-0.025132818549573194
market_cap,-0.02430125291377237,1.0,0.7924288501318414,0.011798540613328891,-0.02535795780449194,-0.04295969424772453,0.014127796692129558,-0.02011360690622562,-0.020008366643017316,-0.02510383439373483,,0.01291346353659956,0.01291346353659956,0.012129462129282538,0.02010056311254502,0.012129462129282538,0.013369055556245688,0.08897357865648778,0.03899859984651033,,0.03776340686050064,,0.015420127707029961,0.03899859984651033,0.12458159892068106,0.012908444440483863,0.037836931946203925,0.04378059576576592,0.03899837699780487,0.015489951400074432,-0.033645914503455956,0.0020935526213134103,-0.033645914777783115,-0.019602679215075188,0.009573363113525779,-0.05884646434019934
volume_24h,-0.02445661413148523,0.7924288501318414,1.0,-0.02211207682200999,-0.028568357741015144,-0.0894243967797383,-0.050737942144127794,-0.021071086747464853,-0.02095065072469942,-0.026640882284418223,,-0.05149847859347841,-0.05149847859347841,0.15603477867837634,0.021101712857809627,0.15603477867837634,-0.05176078717798674,0.25532093959355034,0.11624214367883136,,0.08321556779545763,,-0.013162868668653955,0.11624214367883136,0.14365657276211993,-0.0515096580318454,0.08330918649693023,0.12975124396952536,0.11624378078424348,-0.012861064337139126,-0.03798550934183098,-0.023020413595980865,-0.037985511280996906,-0.023394797640399062,-0.023046344636426068,-0.05802022262364622
volume_change_24h,-0.014063965215275333,0.011798540613328891,-0.02211207682200999,1.0,-0.015730142247847294,-0.04541457734766918,-0.025166106883228793,-0.011968092846490867,-0.011903974390057828,-0.014935578462507485,,-0.02545026900436688,-0.02545026900436688,0.041867762176743865,0.011983097516900555,0.041867762176743865,-0.02567950733552511,0.14404224548545622,-0.056652688429444736,,0.03333491808897574,,0.4449950536042036,-0.056652688429444736,0.07554418725265206,-0.025450795060725322,0.03344038818634333,-0.047008391331962204,-0.05668839541025834,0.44486429377023967,-0.02001423957439887,-0.01204250288217088,-0.020014240988171866,-0.011811329387940746,0.01064189446513876,0.11186203358634335
pct_change_1h,-0.01093687582345058,-0.02535795780449194,-0.028568357741015144,-0.015730142247847294,1.0,-0.05005458126863737,-0.03511357618177542,-0.007645458090344095,-0.007605164719930301,-0.009316847436634228,,-0.03204789818685259,-0.03204789818685259,-0.22569837048455588,0.007667690549472404,-0.22569837048455588,-0.024607588811834176,-0.09798956875815631,0.07430060373885139,,0.05297784329280777,,-0.023069781773447748,0.07430060373885139,-0.2606685403261786,-0.03205459917073465,0.052976845458434355,0.06733912355550581,0.07430267314553307,-0.023083967405821283,-0.01256582652851148,-0.019532305669001025,-0.01256582619753232,-0.001255256631926911,-0.015101501332888024,-0.08369649526075322
pct_change_24h,0.18607161037325734,-0.04295969424772453,-0.0894243967797383,-0.04541457734766918,-0.05005458126863737,1.0,0.19985206329714172,0.13626664509282704,0.13549362884554253,0.16140317190703649,,0.20539352435623917,0.20539352435623917,-0.0748467122131139,-0.1363643960359424,-0.0748467122131139,0.21011951557951702,-0.30996002463578304,-0.3381967484395012,,-0.2253389211309782,,-0.05873122689211545,-0.3381967484395012,-0.2257588701407498,0.20542433783903405,-0.22541625155257514,-0.3516626741504384,-0.3381467016766485,-0.05876802976463863,-0.00973957750368842,-0.05118736338287974,-0.00973956980497215,0.024811186969478816,-0.034938527709289145,0.12900332894788127
pct_change_7d,0.143507706391554,0.014127796692129558,-0.050737942144127794,-0.025166106883228793,-0.03511357618177542,0.19985206329714172,1.0,0.15459846127364113,0.1546133425396519,0.14621990545090302,,0.9956721155235609,0.9956721155235609,-0.11435912695426266,-0.1552710050540711,-0.11435912695426266,0.9997527093618372,-0.222097577556313,-0.22605701225730893,,-0.16885731392309522,,-0.04281898498094065,-0.22605701225730893,0.19432113766333878,0.9956741776102537,-0.1689365058532466,-0.23593697957077586,-0.2260367965918877,-0.04284165821390315,-0.044272351224118336,-0.02410619899368175,-0.04427234720021358,-0.0271995972122989,-0.027188801613094223,-0.03273001216634878
pct_change_30d,0.9701943859668145,-0.02011360690622562,-0.021071086747464853,-0.011968092846490867,-0.007645458090344095,0.13626664509282704,0.15459846127364113,1.0,0.9999579527778296,0.9374142787653124,,0.16678220573292096,0.16678220573292096,-0.04601621937191762,-0.9999997679397331,-0.04601621937191762,0.1522832252120495,-0.09584687491793568,0.05638750036024966,,0.040416860403939256,,-0.018274620394345187,0.05638750036024966,0.0856222418198273,0.1667728310523614,0.040416309501137386,0.04974970538081553,0.05638834077500305,-0.018284389273063497,-0.01994478511316951,-0.011435499641994043,-0.019944786389205008,-0.011616350239985999,-0.011528338723318134,-0.02871315345427729
pct_change_60d,0.9696789027158481,-0.020008366643017316,-0.02095065072469942,-0.011903974390057828,-0.007605164719930301,0.13549362884554253,0.1546133425396519,0.9999579527778296,1.0,0.9345675057284757,,0.16670068114636385,0.16670068114636385,-0.04595573185761119,-0.9999577561159994,-0.04595573185761119,0.1523138933846558,-0.09533961214812203,0.05609727007881516,,0.040209189325391685,,-0.018175909883807743,0.05609727007881516,0.08514312592001369,0.1666913370675697,0.04020864461031426,0.04949507998275986,0.05609810518406788,-0.018185626031101652,-0.01980812595979858,-0.01137879922223724,-0.019808127229202468,-0.011553614091416132,-0.011466060685347954,-0.028556723859771288
pct_change_90d,0.9249979949514889,-0.02510383439373483,-0.026640882284418223,-0.014935578462507485,-0.009316847436634228,0.16140317190703649,0.14621990545090302,0.9374142787653124,0.9345675057284757,1.0,,0.15926349472363632,0.15926349472363632,-0.04919320953674529,-0.9374140596877951,-0.04919320953674529,0.1432824441684521,-0.11907499763984129,0.07039072023655486,,0.05045436412837514,,-0.022799812683789458,0.07039072023655486,0.10753485915364668,0.15925289808684795,0.05045368619735723,0.06210848580330484,0.07039176623940348,-0.02281200057720499,-0.024855270658120925,-0.014273388263119892,-0.024855272250941238,-0.014492753333848753,-0.014383002348303597,-0.036559468288371554
signal_strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall_score,0.15649418937948556,0.01291346353659956,-0.05149847859347841,-0.02545026900436688,-0.03204789818685259,0.20539352435623917,0.9956721155235609,0.16678220573292096,0.16670068114636385,0.15926349472363632,,1.0,1.0,-0.11568484174959427,-0.16745033225524275,-0.11568484174959427,0.9957140197961541,-0.22582644644339345,-0.2143346312318548,,-0.14258193339549494,,-0.04349463222541714,-0.2143346312318548,0.18908809369230492,0.9999999940953904,-0.142666189741912,-0.22462115354554354,-0.21431348963100896,-0.04351775231069194,-0.044256085303250293,-0.024769881802394405,-0.0442560821126249,-0.026698149529567426,-0.027579212999036803,-0.029278503739833976
composite_score,0.15649418937948556,0.01291346353659956,-0.05149847859347841,-0.02545026900436688,-0.03204789818685259,0.20539352435623917,0.9956721155235609,0.16678220573292096,0.16670068114636385,0.15926349472363632,,1.0,1.0,-0.11568484174959427,-0.16745033225524275,-0.11568484174959427,0.9957140197961541,-0.22582644644339345,-0.2143346312318548,,-0.14258193339549494,,-0.04349463222541714,-0.2143346312318548,0.18908809369230492,0.9999999940953904,-0.142666189741912,-0.22462115354554354,-0.21431348963100896,-0.04351775231069194,-0.044256085303250293,-0.024769881802394405,-0.0442560821126249,-0.026698149529567426,-0.027579212999036803,-0.029278503739833976
change_momentum,-0.031871650402518534,0.012129462129282538,0.15603477867837634,0.041867762176743865,-0.22569837048455588,-0.0748467122131139,-0.11435912695426266,-0.04601621937191762,-0.04595573185761119,-0.04919320953674529,,-0.11568484174959427,-0.11568484174959427,1.0,0.04608879514690882,1.0,-0.12017012556208884,0.7277232517382358,0.12949369665531227,,0.14439481339511742,,-0.020439032029170346,0.12949369665531227,0.006584042951291298,-0.11569870057055247,0.1444133742760398,0.1711011491983555,0.1295017021219288,-0.020352895055437015,-0.023528034101125042,-0.12282392462239723,-0.023528052189063026,-0.09426391649813613,-0.03562185435263024,0.06266008916640214
momentum_acceleration,-0.9701882192781524,0.02010056311254502,0.021101712857809627,0.011983097516900555,0.007667690549472404,-0.1363643960359424,-0.1552710050540711,-0.9999997679397331,-0.9999577561159994,-0.9374140596877951,,-0.16745033225524275,-0.16745033225524275,0.04608879514690882,1.0,0.046088795146908834,-0.15295556285963618,0.09598274330047522,-0.05623382853015899,,-0.040301518611023386,,0.018300863646753446,-0.05623382853015899,-0.08575424514629865,-0.16744095915409452,-0.04030091488106489,-0.04959022741834388,-0.05623468154593022,0.018310646259279913,0.019973175637402543,0.011449669487100326,0.019973176910719277,0.011634683498056205,0.011545073314066671,0.028736339429087758
risk_adjusted_momentum,-0.031871650402518534,0.012129462129282538,0.15603477867837634,0.041867762176743865,-0.22569837048455588,-0.0748467122131139,-0.11435912695426266,-0.04601621937191762,-0.04595573185761119,-0.04919320953674529,,-0.11568484174959427,-0.11568484174959427,1.0,0.046088795146908834,1.0,-0.12017012556208884,0.7277232517382358,0.12949369665531227,,0.14439481339511742,,-0.020439032029170346,0.12949369665531227,0.006584042951291298,-0.11569870057055247,0.1444133742760398,0.1711011491983555,0.1295017021219288,-0.020352895055437015,-0.023528034101125042,-0.12282392462239723,-0.023528052189063026,-0.09426391649813613,-0.03562185435263024,0.06266008916640214
price_volatility,0.14142114686017246,0.013369055556245688,-0.05176078717798674,-0.02567950733552511,-0.024607588811834176,0.21011951557951702,0.9997527093618372,0.1522832252120495,0.1523138933846558,0.1432824441684521,,0.9957140197961541,0.9957140197961541,-0.12017012556208884,-0.15295556285963618,-0.12017012556208884,1.0,-0.22542045654717702,-0.2289638653119162,,-0.17361371087698874,,-0.04330520893212005,-0.2289638653119162,0.18445479917615273,0.9957165058404179,-0.17369295747714988,-0.23899937265532634,-0.22894322245829127,-0.04332844097850946,-0.04432543836641909,-0.024470825376951406,-0.04432543413791337,-0.025862604779236773,-0.02745223407415509,-0.029559750284722776
volatility_risk,-0.11399280629360714,0.08897357865648778,0.25532093959355034,0.14404224548545622,-0.09798956875815631,-0.30996002463578304,-0.222097577556313,-0.09584687491793568,-0.09533961214812203,-0.11907499763984129,,-0.22582644644339345,-0.22582644644339345,0.7277232517382358,0.09598274330047522,0.7277232517382358,-0.22542045654717702,1.0,0.22854833651833187,,0.18021957252620713,,0.12427407635364489,0.22854833651833187,0.05200488900590556,-0.22584821355648627,0.1802543550353648,0.28518703205354884,0.22853044080770898,0.12435189373292493,-0.11494432718752656,-0.004916283882726766,-0.11494434703333536,-0.060154492233482494,0.06060075943421487,0.040871944683132315
