coin_name,symbol,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,coin_type,platform,category,primary_signal,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,date_added,last_updated,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,price_tier,momentum_category,risk_level,days_since_added,momentum_score,risk_score,investment_score,predicted_signal,potential_return
Moonchain,MCH,0.018841684400444828,4700058.173690963,108780.44863165,258.0444,0.178624,-0.66430059,203866.28276242,15331.04588193,24998.07652463,4582.68782347,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,672822.24,672822.24,1.06,-22839.341684413666,1.06,96103.6,0.0,100.0,70,99.41,100,6.02,100.0,98.78,672772.92,24.91,8.8,15.0,0.6,2025-09-01 07:34:22+00:00,2026-02-11 04:48:34.568000+00:00,999999999.0,249450000.0,999999999.0,24.95,0.08,Low,Neutral,Low Risk,162,-2224.87,59.0,-490.07,SELL,0.59
Smilek to the Bank,SMILEK,1.2220920002815288e-05,23939573.172205236,21512.52116576,361.2654,-0.35842936,1384.38158788,161561.33983532,110488.75685037,108156.73731022,88043.27876314,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,535945.87,535945.87,1.07,-21180.003173945475,1.07,75836.64,0.0,8.99,70,84.76,100,6.02,8.99,98.9,535917.87,22.71,3.34,1.35,0.6,2021-06-03 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,2008932945814.0,1958901062006.0,2008932945814.0,97.51,0.0,Micro,Neutral,Low Risk,1714,-2058.72,36.25,-463.32,SELL,0.69
Donkey King,DOKY,0.0016986167852632388,14734756.56534953,0.0,-100.0,-0.02182546,2051.95156386,184505.2310438,128233.77671525,120609.12978287,108621.72891755,meme,BNB Smart Chain (BEP20),Small,BUY,100,501526.55,501526.55,1.07,-24189.039067135,1.07,86497.01,0.0,0.0,70,0.0,100,6.02,0.0,98.93,501513.15,10.0,2.8,0.0,0.6,2024-05-06 10:43:36+00:00,2026-02-11 04:48:34.568000+00:00,0.0,8674561969.0,8674561969.0,0.0,1.0,Low,Neutral,Low Risk,645,-2359.61,34.0,-540.0,SELL,0.69
Beers,BEER,285832.6600706098,0.0,315610.02582749,3.3294,25.04445464,1686.31924221,56970.66458124,1524264655.4235315,2106487049.6032052,3101358900.963902,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,191449.6,191449.6,1.1,-50814820.5889182,1.1,26461.55,0.0,100.0,70,100.0,100,6.02,100.0,99.15,191400.19,25.0,8.8,15.0,0.6,2024-07-09 03:50:16+00:00,2026-02-11 04:48:34.568000+00:00,45000000000.0,0.0,45000000000.0,0.0,1.0,High,Neutral,Low Risk,582,-5081422.15,59.0,-1270289.39,SELL,0.99
APES,APES,0.006916451431824146,6916416.455329256,11214.21213226,131.9494,-0.37152603,2943.11954795,39134.28720371,22289.22408323,20266.82865079,24337.02765686,crypto,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,135026.36,135026.36,1.15,-4608.664703949715,1.15,17795.09,0.01,16.21,70,91.55,100,6.02,16.21,99.61,134995.82,23.73,3.77,2.43,0.6,2024-08-19 17:54:49+00:00,2026-02-11 04:48:34.568000+00:00,999999775.0,999994943.0,999994943.0,100.0,0.01,Low,Neutral,Low Risk,540,-399.9,38.06,-47.44,SELL,1.49
MAGA,PEOPLE,3.066520226214257,0.0,127865.80133413,3.0364,5.08537778,1888.58720782,32156.77705111,6943154.4844005,5520085.16570842,926362.92808992,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,109938.32,109938.32,1.13,-234690.61736544967,1.13,14732.59,0.01,100.0,70,100.0,100,6.02,100.0,99.46,109888.92,25.0,8.8,15.0,0.6,2024-07-03 11:27:43+00:00,2026-02-11 04:48:34.568000+00:00,500000000000.0,0.0,500000000000.0,0.0,1.0,Medium,Neutral,Low Risk,587,-23408.51,59.0,-5785.98,SELL,1.29
GameStop Coin,GME,432.05475469171216,0.0,220782.06606126,-13.0678,17.78754308,1249.68210775,28589.00481967,51214169.02184206,79836714.24081115,39263424.30241013,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,79308.64,79308.64,1.11,-1710091.6180976874,1.11,13187.83,0.01,100.0,70,100.0,100,6.02,100.0,99.3,79259.24,25.0,8.8,15.0,0.6,2024-07-31 08:57:21+00:00,2026-02-11 04:48:34.568000+00:00,420000000000.0,0.0,420000000000.0,0.0,1.0,High,Neutral,Low Risk,559,-170949.02,59.0,-42671.1,SELL,1.09
Wojak (wojaketh),WOJAK,2.9814744724000915e-05,2069284.210302696,7619460.22521791,205.7706,-5.53305237,-29.42475364,18009.74004996,-77.7797805,-78.25979164,-82.63553412,meme,Ethereum,Small,STRONG_BUY,100,59428.68,59428.68,1.06,-1974.1062156894286,1.06,8498.12,0.01,100.0,70,100.0,100,6.02,100.0,98.76,59379.28,25.0,8.8,15.0,0.6,2023-04-18 06:44:21+00:00,2026-02-11 04:48:34.568000+00:00,69420000000.0,69404726737.0,69420000000.0,99.98,0.0,Micro,Neutral,Low Risk,1029,-138.35,59.0,31.56,HOLD,0.59
KnockOut Games,GG,0.0028050050726878594,2805005.0698828544,0.0,-100.0,0.0,-4.49475858,21027.85439639,16.06634428,26.76691293,115.68749059,crypto,Solana,Small,BUY,100,56794.05,56794.05,1.06,-2304.228372782524,1.06,9913.69,0.01,0.0,70,0.0,100,6.02,0.0,98.78,56780.65,10.0,2.8,0.0,0.6,2025-09-25 16:16:33+00:00,2026-02-11 04:48:34.568000+00:00,999999999.0,999999999.0,999999999.0,100.0,0.0,Low,Neutral,Low Risk,138,-171.36,34.0,7.06,SELL,0.59
NOT,CAT,15780.57466790178,0.0,212089.899821,0.7271,26.18557815,1416.06525778,11030.54011589,13937645.98670253,2765702.75755518,1176341279.8041754,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,39315.02,39315.02,1.22,-465594.01129452273,1.22,4892.92,0.02,100.0,70,100.0,100,6.02,100.0,99.92,39265.62,25.0,8.8,15.0,0.6,2024-07-31 05:51:37+00:00,2026-02-11 04:48:34.568000+00:00,100000000000.0,0.0,100000000000.0,0.0,1.0,High,Bullish,Low Risk,559,-46497.06,59.01,-11558.12,SELL,2.2
