coin_name,symbol,price_usd,market_cap,volume_24h,volume_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,pct_change_30d,pct_change_60d,pct_change_90d,coin_type,platform,category,primary_signal,signal_strength,overall_score,composite_score,change_momentum,momentum_acceleration,risk_adjusted_momentum,price_volatility,volatility_risk,liquidity_risk,concentration_risk,nvt_score,mvrv_score,scarcity_score,efficiency_score,momentum_consistency,inv_momentum_score,inv_value_score,inv_risk_score,inv_activity_score,inv_network_score,date_added,last_updated,max_supply,circulating_supply,total_supply,annual_inflation,stock_to_flow,price_tier,momentum_category,risk_level,days_since_added,momentum_score,risk_score,investment_score,predicted_signal,potential_return
NULS,NULS,0.0035982209878309573,411065.77509742696,0.0,0.0,0.0102834,6128.04076714,277.0719702,-23.30669298,-15.21652686,-6.07323316,crypto,Native,Small,BUY,100,10709.21,10709.21,0.7,845.8653073831429,0.7,2825.74,0.04,0.0,70,0.0,100,6.02,0.0,0.0,10695.81,10.0,2.8,0.0,0.6,2017-10-25 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,210000000.0,114241392.20121147,133444356.39010653,54.4,0.01,Low,Bearish,Low Risk,3031,107.42,34.01,76.75,STRONG_BUY,-1.5
The Game Company,GMRT,0.0187662099366817,6080615.885884167,10448.49384311,-16.1382,27.90804583,5601.68495723,4004.41399702,1543.98858388,1815.52681032,914.23425657,crypto,Base,Small,STRONG_BUY,100,19978.37,19978.37,1.57,310.1957461822857,1.57,2343.57,0.04,17.18,70,92.03,100,6.02,17.18,38.74,19947.55,23.8,3.84,2.58,0.6,2025-02-04 09:10:28+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,324019389.4452062,1000000000.0,32.4,0.06,Low,Bullish,Low Risk,371,81.42,38.31,73.04,STRONG_BUY,2.21
PEPE,TRUMP,0.00011833272908912778,0.0,199976.90056297,-4.1759,30.67506044,1047.60138355,842.06287915,322.35362445,72037.14313308,52867.3585041,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,4085.38,4085.38,1.69,46.68628530904763,1.69,439.03,0.23,100.0,70,100.0,100,6.02,100.0,46.84,4035.96,25.0,8.82,15.0,0.6,2024-06-18 07:05:31+00:00,2026-02-11 04:48:34.568000+00:00,21000000000000.0,0.0,21000000000000.0,0.0,1.0,Micro,Bullish,Low Risk,602,59.7,47.86,65.0,BUY,3.94
TRUMP MAGA,MAGA,0.0005081034996726933,0.0,142529.89103156,14.6753,34.73550424,306.1437081,616.81816406,64.89307115,-24.12278465,163.72982414,meme,Base,Small,STRONG_BUY,100,2769.39,2769.39,1.71,-25.984562040142844,1.71,237.81,0.42,100.0,70,100.0,100,6.02,100.0,94.65,2719.94,25.0,8.84,15.0,0.6,2025-09-22 06:30:14+00:00,2026-02-11 04:48:34.568000+00:00,28000000000.0,0.0,28000000000.0,0.0,1.0,Micro,Bullish,Low Risk,141,67.14,43.9,63.51,BUY,35.24
I love puppies,PUPPIES,2.09413042320877e-10,0.0,283093.03473509,15.872,-1.73405331,368.68103669,697.37096103,883.98010911,568.84090146,877.97977416,meme,Ethereum,Small,STRONG_BUY,100,3109.69,3109.69,1.61,-53.17600841314285,1.61,285.58,0.35,100.0,70,100.0,100,6.02,100.0,92.03,3060.25,25.0,8.83,15.0,0.6,2025-09-30 09:20:02+00:00,2026-02-11 04:48:34.568000+00:00,4.2069e+17,0.0,4.2069e+17,0.0,1.0,Micro,Bullish,Low Risk,133,61.81,44.83,63.06,BUY,24.07
NKN,NKN,0.012816733410517594,10215902.090301128,25289814.07733546,25.5975,23.86516997,45.71679993,51.51282932,-3.46708601,-1.96063614,-22.99715895,crypto,Native,Small,STRONG_BUY,100,398.67,398.67,3.72,1.0046596457619046,3.72,11.9,7.75,100.0,70,99.99,100,6.02,100.0,77.07,348.49,25.0,9.57,15.0,0.6,2018-05-28 00:00:00+00:00,2026-02-11 04:48:34.568000+00:00,1000000000.0,797075336.0538664,797075336.0538664,79.71,0.02,Low,Strong Bullish,High Risk,2816,83.22,41.95,60.71,BUY,204.64
PEPE AI (pepeai.one),PEPE,0.0005324116617074271,0.0,250282.50780858,6.3467,4.30811039,798.73626962,404.02292034,-50.57639148,554.88843177,-50.76900716,meme,BNB Smart Chain (BEP20),Small,STRONG_BUY,100,2998.15,2998.15,1.36,71.5409317197143,1.36,324.33,0.31,100.0,70,100.0,100,6.02,100.0,15.91,2948.71,25.0,8.83,15.0,0.6,2025-04-17 06:34:41+00:00,2026-02-11 04:48:34.568000+00:00,30000000000.0,0.0,30000000000.0,0.0,1.0,Micro,Bullish,Low Risk,299,46.86,45.6,58.87,BUY,2.01
[Fake]COINBASE,COIN,35.63476468475439,0.0,410270.55035909,20.68,-4.78757459,250.96438123,273.87375757,83.10919147,144.9839289,-27.36047289,meme,Base,Small,STRONG_BUY,100,1475.7,1475.7,1.67,3.0860508214285693,1.67,126.31,0.79,100.0,70,100.0,100,6.02,100.0,68.45,1426.22,25.0,8.88,15.0,0.6,2025-06-06 09:45:24+00:00,2026-02-11 04:48:34.568000+00:00,270000000.0,0.0,270000000.0,0.0,1.0,Medium,Bullish,Low Risk,249,61.46,41.8,58.52,BUY,34.28
MSTR,MSTR,0.874090110753321,0.0,211120.61682841,-37.0318,28.46189712,225.40823686,208.62922546,-70.18381487,-45.8711737,487.85130021,crypto,Base,Small,STRONG_BUY,100,1044.5,1044.5,1.99,11.690769639571428,1.99,89.15,1.11,100.0,70,100.0,100,6.02,100.0,56.7,994.99,25.0,8.91,15.0,0.6,2024-11-27 06:40:16+00:00,2026-02-11 04:48:34.568000+00:00,10000000000.0,0.0,10000000000.0,0.0,1.0,Low,Bullish,Medium Risk,440,64.66,41.17,58.12,BUY,46.12
Reploy,RAI,0.06819530171769898,681953.0171769898,752253.85170295,1.7366,14.31404199,27.30963032,84.47411745,-22.35476529,-46.60356671,-61.46704333,crypto,Ethereum,Small,STRONG_BUY,100,434.32,434.32,1.75,-4.605392546285714,1.75,30.48,3.18,100.0,70,99.99,100,6.02,100.0,99.98,384.6,25.0,9.12,15.0,0.6,2024-12-12 22:38:20+00:00,2026-02-11 04:48:34.568000+00:00,10000000.0,10000000.0,10000000.0,100.0,0.07,Low,Bullish,High Risk,425,71.61,40.72,58.1,BUY,70.41
